Geo Point,UBIGEO
"-4.9913404276, -78.3895873417",10205
"-3.81344973198, -77.8881145415",10403
"-5.36637331851, -74.1269200093",160503
"-4.79793879034, -73.4051006497",160507
"-6.39059764497, -75.1859081907",160605
"-5.02111581662, -77.1108142459",160701
"-6.70534564878, -76.5992185162",220304
"-6.73971460262, -76.3970297864",220702
"-6.68366694527, -76.2601213302",220902
"-6.72417364417, -76.7056692065",220302
"-6.55012078051, -76.5306833964",220511
"-6.52384560405, -76.6990621772",220305
"-6.6156535102, -76.4683664175",220505
"-6.61796728524, -75.9894908245",220904
"-6.60186149919, -76.9631153084",220402
"-6.46781171215, -76.4384114549",220903
"-6.63863333492, -75.7136255556",220907
"-6.19532658461, -76.3342373769",220504
"-6.30627544181, -76.0487086335",220503
"-6.24499797609, -75.8647660843",220906
"-6.17529926485, -77.161718615",220808
"-6.17353651737, -76.9218024619",220104
"-6.01453946653, -77.0957553964",220102
"-5.85896776826, -77.2748920029",220807
"-6.03999056091, -79.1236585791",60808
"-6.11675209887, -78.5588565763",60604
"-12.0932826824, -76.3918799526",150710
"-11.9378192413, -76.6229148097",150714
"-11.8405937705, -76.5304316715",150723
"-12.2191484953, -76.2627067143",150726
"-12.031918149, -76.199604829",150729
"-12.2613195891, -76.5362049234",150731
"-12.74278402, -75.8820025816",151008
"-12.9223864219, -75.9240578357",151009
"-12.9415582986, -75.821849626",151015
"-12.8109440553, -75.6306915404",151019
"-12.6665124898, -75.9227621959",151023
"-11.4753065958, -76.5822973244",150401
"-12.487066049, -76.4546171525",150503
"-12.9659036472, -76.4647131909",150504
"-12.6587176209, -76.406722529",150506
"-12.9604959457, -76.2585762873",150510
"-12.6131660134, -76.6741821247",150513
"-13.0519940414, -76.4237180392",150514
"-11.2774971786, -76.5951710371",150602
"-11.5177450119, -77.0499502376",150604
"-6.6828598723, -78.8494399313",61311
"-5.42773454301, -78.6008461888",60812
"-6.78283683141, -79.8258256326",140101
"-6.62686237846, -79.4645633568",140102
"-6.77963847331, -79.2768493053",140110
"-6.77373246232, -79.6944505306",140120
"-6.48622839273, -79.6347601523",140205
"-6.33418180344, -79.8082833519",140304
"-6.16904653707, -79.7078755167",140307
"-6.04759907501, -80.0715657814",140308
"-6.46959437833, -79.8533669474",140303
"-6.43408352031, -79.8799227169",140309
"-6.15088730377, -79.5379484503",140310
"-4.53705144763, -80.7849327198",200605
"-4.83553478729, -81.0067648824",200502
"-5.45775132257, -80.7020029329",200803
"-5.44129407397, -80.6113698397",200108
"-5.31206763234, -79.6258326484",200302
"-5.39791477638, -79.4602337788",200308
"-5.35759047326, -80.5860497939",200107
"-5.40352153514, -79.3624111179",200307
"-5.33287313169, -80.8679975416",200110
"-13.8043260135, -76.1067640416",110506
"-13.6421160517, -76.143986748",110507
"-13.7261716663, -76.1103351883",110508
"-18.1129713482, -70.1686203468",230101
"-17.9542171908, -70.1462231258",230103
"-17.6042296966, -70.7330559166",230301
"-16.5758064714, -71.0460888167",180203
"-16.8259850314, -71.2938706203",180205
"-16.3035765087, -70.6272478006",180206
"-16.6282949232, -71.1572683382",180208
"-16.7042052871, -70.8798240106",180209
"-17.7848033844, -70.0235939629",230106
"-17.6569374946, -69.7640307241",230107
"-18.0077242115, -70.0741386827",230108
"-17.165068685, -70.4327437104",230203
"-17.5018815327, -69.9580478867",230407
"-17.8578365426, -70.1903379896",230104
"-8.07476764711, -78.4619619835",130501
"-7.92475331239, -79.2177400201",130207
"-7.80063520377, -78.3616459122",130614
"-7.2881373395, -79.487884406",130702
"-8.801723956, -78.6497468049",131203
"-7.82233354626, -77.7980907435",130902
"-7.84774121564, -77.9534956797",130904
"-7.79264708165, -78.1756389128",130906
"-9.82975945475, -72.6985747382",250204
"-7.2220739621, -78.1612444842",61004
"-7.35601693684, -78.0209710547",61006
"-7.3382329129, -78.5271861115",60102
"-7.56770186683, -78.2533285254",60202
"-7.5301245515, -78.0911377252",60203
"-7.4743924998, -77.9063269576",60204
"-11.8333174196, -75.9781833361",120809
"-11.7808253418, -75.422018756",120416
"-15.4042082082, -73.1726464682",40809
"-15.4491015617, -74.3981647291",40310
"-4.91945260954, -80.330951856",200114
"-16.2828061505, -69.0901932276",211301
"-16.1979688312, -68.9715154792",211306
"-16.2873250105, -69.9084522632",210102
"-14.6793411324, -71.3437551617",80806
"-15.0011514976, -71.658226869",80807
"-12.9122955128, -74.0230995984",50508
"-12.6711995573, -74.2420109347",50406
"-12.7284683251, -73.8908908883",50503
"-12.3406200401, -74.1021148061",50409
"-13.5369810301, -71.3439938855",81204
"-13.3423089239, -70.7489180717",81203
"-12.1507253061, -74.6523758733",90717
"-13.465418413, -75.2376821942",90610
"-13.274170564, -75.3630878906",90406
"-14.0986837754, -72.4470150609",30708
"-4.62833596881, -75.9760563682",160206
"-5.65827722338, -75.7490051696",160210
"-4.44271761017, -74.1142036928",160301
"-2.94373100402, -75.264851828",160303
"-17.4994092708, -70.2145383731",230402
"-7.07965485283, -79.4476295332",130402
"-9.14149277601, -78.3031918642",21806
"-9.27947030479, -78.4424530351",21807
"-8.06341096145, -79.0559436318",130105
"-13.7166324857, -73.2740550895",30213
"-13.7683778251, -73.3879123994",30201
"-13.5731045935, -71.9785576552",80106
"-9.50589951487, -78.0203063568",20804
"-11.6963534657, -74.8571869465",120203
"-11.6626625244, -75.5675652991",120402
"-12.9767443442, -69.938844847",170102
"-13.0031462504, -70.6520775912",170204
"-12.3620032641, -71.5183667856",170201
"-12.6295418097, -70.675352468",170203
"-12.4087115867, -76.7673087796",150138
"-12.7967282892, -76.5112380802",150502
"-13.8133867212, -75.2149406233",90613
"-15.7900972423, -71.4553234369",40519
"-15.9126432892, -72.6005994779",40605
"-5.0531475423, -79.9106807866",200409
"-10.4140280869, -74.6367329439",190306
"-9.82583819324, -74.7846259195",190308
"-8.14262756027, -77.9420484787",131005
"-12.3693818905, -76.7241442608",150129
"-11.2716606505, -77.4927678336",150801
"-11.0879808502, -77.6200225143",150803
"-11.1161350227, -77.4732727898",150810
